,SeqNumber,TimeStamp,ProductID,BidVolume1,AskVolume1,Bid1,Ask1
0,180845,1689642050.000560419,2340,48,253,577000,580000
0,181560,1689642050.454135649,2340,6,255,578000,580000
0,182147,1689642050.803277273,6285,92,13,1205000,1210000
0,186650,1689642053.681621539,2340,7,259,578000,580000
0,186918,1689642053.849846643,2340,1,259,579000,580000
0,188499,1689642054.964121648,2609,23,8,454500,456000
0,189924,1689642055.936898971,2340,13,2,578000,579000
0,190578,1689642056.421390177,2340,16,258,578000,580000
0,194882,1689642059.354307396,2340,25,254,578000,580000
0,195419,1689642059.699834633,2303,46,9,485500,487000
0,195805,1689642059.981882460,2340,1,254,579000,580000
0,198908,1689642061.475492849,2303,19,9,486000,487000
0,200359,1689642062.291397424,2303,9,9,486000,487000
0,201452,1689642062.888714410,2303,3,9,486000,487000
0,202008,1689642063.161893165,2340,19,61,580000,582000
0,206529,1689642065.490619176,2368,1,32,1785000,1790000
0,206991,1689642065.773974221,1609,0,0,0,0
0,213927,1689642069.435450018,2609,3,4,455000,455500
0,216368,1689642070.815840782,2231,5,5,1605000,1620000
0,220948,1689642073.494070983,1609,94,2,401500,403000
0,223098,1689642074.734493355,1609,5,2,402000,403000
0,226589,1689642076.753780992,2368,1,42,1785000,1790000
0,228324,1689642077.813653653,2340,25,25,581000,583000
0,228539,1689642077.959444065,2340,14,17,581000,583000
0,232466,1689642080.297153379,2231,2,1,1605000,1610000
0,232629,1689642080.428425219,2340,3,3,580000,581000
0,236044,1689642082.546942390,2340,1,13,580000,581000
0,237381,1689642083.474828575,2340,60,21,578000,581000
0,238118,1689642083.981609490,2340,62,17,578000,581000
0,247153,1689642090.243862499,2340,4,5,580000,581000
0,248010,1689642090.795401988,2368,69,2,1780000,1785000
0,249566,1689642091.751566324,3037,93,186,1850000,1855000
0,251763,1689642093.118109636,2603,87,200,985000,986000
